Date,HomeTeam,AwayTeam,xG_Home,xG_Away,P_Home,P_Draw,P_Away,Prediction,Actual,Correct
2024-01-14,Bochum,Werder Bremen,1.63,1.58,0.394,0.234,0.372,H,D,False
2024-01-14,M'gladbach,Stuttgart,1.73,2.02,0.336,0.213,0.451,A,H,False
2024-01-20,RB Leipzig,Leverkusen,2.72,2.13,0.511,0.181,0.306,H,A,False
2024-01-20,Freiburg,Hoffenheim,2.06,1.99,0.409,0.205,0.385,H,H,True
2024-01-20,Heidenheim,Wolfsburg,2.72,1.54,0.623,0.173,0.201,H,D,False
2024-01-20,Darmstadt,Ein Frankfurt,2.29,1.52,0.547,0.199,0.253,H,D,False
2024-01-20,FC Koln,Dortmund,2.57,1.88,0.53,0.186,0.283,H,A,False
2024-01-20,Bochum,Stuttgart,1.6,1.5,0.403,0.238,0.359,H,H,True
2024-01-21,Bayern Munich,Werder Bremen,2.22,2.11,0.421,0.198,0.38,H,A,False
2024-01-21,M'gladbach,Augsburg,1.85,2.03,0.361,0.21,0.429,A,A,True
2024-01-24,Bayern Munich,Union Berlin,2.6,2.02,0.51,0.185,0.303,H,H,True
2024-01-26,Ein Frankfurt,Mainz,1.72,2.02,0.335,0.213,0.452,A,H,False
2024-01-27,Wolfsburg,FC Koln,1.67,1.99,0.328,0.215,0.457,A,D,False
2024-01-27,Werder Bremen,Freiburg,1.77,1.4,0.465,0.231,0.304,H,H,True
2024-01-27,Leverkusen,M'gladbach,1.79,1.81,0.386,0.219,0.394,A,D,False
2024-01-27,Hoffenheim,Heidenheim,1.8,1.92,0.368,0.215,0.416,A,D,False
2024-01-27,Augsburg,Bayern Munich,2.41,1.73,0.529,0.194,0.277,H,A,False
2024-01-27,Stuttgart,RB Leipzig,2.53,1.61,0.576,0.186,0.237,H,H,True
2024-01-28,Union Berlin,Darmstadt,1.8,2.41,0.289,0.193,0.516,A,H,False
2024-01-28,Dortmund,Bochum,1.99,1.9,0.413,0.21,0.377,H,H,True
2024-02-02,Heidenheim,Dortmund,2.72,1.68,0.595,0.176,0.226,H,D,False
2024-02-03,Bayern Munich,M'gladbach,2.19,2.0,0.434,0.201,0.364,H,H,True
2024-02-03,Bochum,Augsburg,1.72,1.51,0.429,0.232,0.339,H,D,False
2024-02-03,Darmstadt,Leverkusen,2.72,1.58,0.615,0.174,0.209,H,A,False
2024-02-03,Freiburg,Stuttgart,1.63,2.02,0.315,0.214,0.471,A,A,True
2024-02-03,Mainz,Werder Bremen,1.71,1.98,0.337,0.214,0.448,A,A,True
2024-02-03,FC Koln,Ein Frankfurt,2.0,1.71,0.452,0.214,0.334,H,H,True
2024-02-04,RB Leipzig,Union Berlin,2.18,2.03,0.428,0.201,0.37,H,H,True
2024-02-04,Wolfsburg,Hoffenheim,2.15,1.93,0.44,0.204,0.356,H,D,False
2024-02-07,Mainz,Union Berlin,2.0,1.9,0.414,0.21,0.375,H,D,False
2024-02-09,Dortmund,Freiburg,2.51,2.05,0.488,0.189,0.321,H,H,True
