Date,HomeTeam,AwayTeam,Goals_h,Goals_A,Goals_H_ht,Goals_A_ht,winner,Season
2015-09-22,Ingolstadt,Hamburg,0,1,0.0,0.0,A,1516
2015-09-23,Hannover,Stuttgart,1,3,1.0,2.0,A,1516
2015-09-23,Hoffenheim,Dortmund,1,1,1.0,0.0,D,1516
2015-09-23,Leverkusen,Mainz,1,0,0.0,0.0,H,1516
2015-09-23,M'gladbach,Augsburg,4,2,4.0,0.0,H,1516
2015-09-23,Schalke 04,Ein Frankfurt,2,0,0.0,0.0,H,1516
2015-09-25,FC Koln,Ingolstadt,1,1,1.0,1.0,D,1516
2015-09-26,Augsburg,Hoffenheim,1,3,1.0,1.0,A,1516
2015-09-26,Hamburg,Schalke 04,0,1,0.0,0.0,A,1516
2015-09-26,Mainz,Bayern Munich,0,3,0.0,0.0,A,1516
2015-09-26,Stuttgart,M'gladbach,1,3,1.0,2.0,A,1516
2015-09-26,Werder Bremen,Leverkusen,0,3,0.0,1.0,A,1516
2015-09-26,Wolfsburg,Hannover,1,1,1.0,0.0,D,1516
2015-09-27,Dortmund,Darmstadt,2,2,0.0,1.0,D,1516
2015-09-27,Ein Frankfurt,Hertha,1,1,1.0,0.0,D,1516
2015-10-02,Darmstadt,Mainz,2,3,1.0,2.0,A,1516
2015-10-03,Hannover,Werder Bremen,1,0,0.0,0.0,H,1516
2015-10-03,Hertha,Hamburg,3,0,1.0,0.0,H,1516
2015-10-03,Hoffenheim,Stuttgart,2,2,1.0,0.0,D,1516
2015-10-03,Ingolstadt,Ein Frankfurt,2,0,0.0,0.0,H,1516
2015-10-03,M'gladbach,Wolfsburg,2,0,0.0,0.0,H,1516
2015-10-04,Bayern Munich,Dortmund,5,1,2.0,1.0,H,1516
2015-10-04,Leverkusen,Augsburg,1,1,1.0,1.0,D,1516
2015-10-04,Schalke 04,FC Koln,0,3,0.0,1.0,A,1516
2015-10-16,Mainz,Dortmund,0,2,0.0,1.0,A,1516
2015-10-17,Augsburg,Darmstadt,0,2,0.0,2.0,A,1516
2015-10-17,Ein Frankfurt,M'gladbach,1,5,1.0,1.0,A,1516
2015-10-17,Hamburg,Leverkusen,0,0,0.0,0.0,D,1516
2015-10-17,Schalke 04,Hertha,2,1,1.0,0.0,H,1516
2015-10-17,Werder Bremen,Bayern Munich,0,1,0.0,1.0,A,1516
2015-10-17,Wolfsburg,Hoffenheim,4,2,2.0,1.0,H,1516
2015-10-18,FC Koln,Hannover,0,1,0.0,1.0,A,1516
2015-10-18,Stuttgart,Ingolstadt,1,0,0.0,0.0,H,1516
2015-10-23,Hoffenheim,Hamburg,0,1,0.0,0.0,A,1516
2015-10-24,Bayern Munich,FC Koln,4,0,2.0,0.0,H,1516
2015-10-24,Darmstadt,Wolfsburg,0,1,0.0,0.0,A,1516
2015-10-24,Hannover,Ein Frankfurt,1,2,0.0,0.0,A,1516
2015-10-24,Ingolstadt,Hertha,0,1,0.0,1.0,A,1516
2015-10-24,Leverkusen,Stuttgart,4,3,0.0,0.0,H,1516
2015-10-24,Mainz,Werder Bremen,1,3,0.0,3.0,A,1516
2015-10-25,Dortmund,Augsburg,5,1,3.0,0.0,H,1516
2015-10-25,M'gladbach,Schalke 04,3,1,1.0,1.0,H,1516
2015-10-30,Ein Frankfurt,Bayern Munich,0,0,0.0,0.0,D,1516
2015-10-31,Augsburg,Mainz,3,3,1.0,2.0,D,1516
2015-10-31,FC Koln,Hoffenheim,0,0,0.0,0.0,D,1516
2015-10-31,Hertha,M'gladbach,1,4,0.0,2.0,A,1516
2015-10-31,Schalke 04,Ingolstadt,1,1,0.0,1.0,D,1516
2015-10-31,Werder Bremen,Dortmund,1,3,1.0,2.0,A,1516
2015-10-31,Wolfsburg,Leverkusen,2,1,1.0,1.0,H,1516
2015-11-01,Hamburg,Hannover,1,2,1.0,0.0,A,1516
2015-11-01,Stuttgart,Darmstadt,2,0,0.0,0.0,H,1516
2015-11-06,Hannover,Hertha,1,3,0.0,1.0,A,1516
2015-11-07,Bayern Munich,Stuttgart,4,0,4.0,0.0,H,1516
2015-11-07,Darmstadt,Hamburg,1,1,0.0,1.0,D,1516
2015-11-07,Hoffenheim,Ein Frankfurt,0,0,0.0,0.0,D,1516
2015-11-07,Leverkusen,FC Koln,1,2,1.0,1.0,A,1516
2015-11-07,Mainz,Wolfsburg,2,0,1.0,0.0,H,1516
2015-11-07,M'gladbach,Ingolstadt,0,0,0.0,0.0,D,1516
2015-11-08,Augsburg,Werder Bremen,1,2,0.0,0.0,A,1516
2015-11-08,Dortmund,Schalke 04,3,2,2.0,1.0,H,1516
2015-11-20,Hamburg,Dortmund,3,1,2.0,0.0,H,1516
2015-11-21,Ein Frankfurt,Leverkusen,1,3,1.0,2.0,A,1516
2015-11-21,FC Koln,Mainz,0,0,0.0,0.0,D,1516
2015-11-21,M'gladbach,Hannover,2,1,1.0,0.0,H,1516
2015-11-21,Schalke 04,Bayern Munich,1,3,1.0,1.0,A,1516
2015-11-21,Stuttgart,Augsburg,0,4,0.0,3.0,A,1516
2015-11-21,Wolfsburg,Werder Bremen,6,0,2.0,0.0,H,1516
2015-11-22,Hertha,Hoffenheim,1,0,1.0,0.0,H,1516
2015-11-22,Ingolstadt,Darmstadt,3,1,0.0,1.0,H,1516
2015-11-27,Darmstadt,FC Koln,0,0,0.0,0.0,D,1516
2015-11-28,Bayern Munich,Hertha,2,0,2.0,0.0,H,1516
2015-11-28,Hannover,Ingolstadt,4,0,3.0,0.0,H,1516
2015-11-28,Hoffenheim,M'gladbach,3,3,2.0,1.0,D,1516
2015-11-28,Mainz,Ein Frankfurt,2,1,2.0,0.0,H,1516
2015-11-28,Werder Bremen,Hamburg,1,3,0.0,2.0,A,1516
2015-11-29,Augsburg,Wolfsburg,0,0,0.0,0.0,D,1516
2015-11-29,Dortmund,Stuttgart,4,1,2.0,1.0,H,1516
2015-11-29,Leverkusen,Schalke 04,1,1,0.0,0.0,D,1516
2015-12-04,Schalke 04,Hannover,3,1,0.0,0.0,H,1516
2015-12-05,FC Koln,Augsburg,0,1,0.0,0.0,A,1516
2015-12-05,Hamburg,Mainz,1,3,0.0,1.0,A,1516
2015-12-05,Hertha,Leverkusen,2,1,1.0,1.0,H,1516
2015-12-05,Ingolstadt,Hoffenheim,1,1,0.0,0.0,D,1516
2015-12-05,M'gladbach,Bayern Munich,3,1,0.0,0.0,H,1516
2015-12-05,Wolfsburg,Dortmund,1,2,0.0,1.0,A,1516
2015-12-06,Ein Frankfurt,Darmstadt,0,1,0.0,1.0,A,1516
2015-12-06,Stuttgart,Werder Bremen,1,1,1.0,0.0,D,1516
2015-12-11,Mainz,Stuttgart,0,0,0.0,0.0,D,1516
2015-12-12,Bayern Munich,Ingolstadt,2,0,0.0,0.0,H,1516
2015-12-12,Darmstadt,Hertha,0,4,0.0,2.0,A,1516
2015-12-12,Hoffenheim,Hannover,1,0,1.0,0.0,H,1516
2015-12-12,Leverkusen,M'gladbach,5,0,1.0,0.0,H,1516
2015-12-12,Werder Bremen,FC Koln,1,1,1.0,0.0,D,1516
2015-12-12,Wolfsburg,Hamburg,1,1,0.0,1.0,D,1516
2015-12-13,Augsburg,Schalke 04,2,1,1.0,0.0,H,1516
2015-12-13,Dortmund,Ein Frankfurt,4,1,1.0,1.0,H,1516
2015-12-18,Schalke 04,Hoffenheim,1,0,1.0,0.0,H,1516
2015-12-19,Ein Frankfurt,Werder Bremen,2,1,1.0,1.0,H,1516
2015-12-19,FC Koln,Dortmund,2,1,0.0,1.0,H,1516
2015-12-19,Hamburg,Augsburg,0,1,0.0,0.0,A,1516
2015-12-19,Hannover,Bayern Munich,0,1,0.0,1.0,A,1516
2015-12-19,Ingolstadt,Leverkusen,0,1,0.0,0.0,A,1516
2015-12-19,Stuttgart,Wolfsburg,3,1,2.0,1.0,H,1516
2015-12-20,Hertha,Mainz,2,0,1.0,0.0,H,1516
2015-12-20,M'gladbach,Darmstadt,3,2,1.0,1.0,H,1516
2016-01-22,Hamburg,Bayern Munich,1,2,0.0,1.0,A,1516
2016-01-23,FC Koln,Stuttgart,1,3,1.0,1.0,A,1516
2016-01-23,Hannover,Darmstadt,1,2,1.0,1.0,A,1516
2016-01-23,Hertha,Augsburg,0,0,0.0,0.0,D,1516
2016-01-23,Hoffenheim,Leverkusen,1,1,1.0,0.0,D,1516
2016-01-23,Ingolstadt,Mainz,1,0,1.0,0.0,H,1516
2016-01-23,M'gladbach,Dortmund,1,3,0.0,1.0,A,1516
2016-01-24,Ein Frankfurt,Wolfsburg,3,2,0.0,1.0,H,1516
2016-01-24,Schalke 04,Werder Bremen,1,3,1.0,1.0,A,1516
2016-01-29,Mainz,M'gladbach,1,0,1.0,0.0,H,1516
2016-01-30,Augsburg,Ein Frankfurt,0,0,0.0,0.0,D,1516
2016-01-30,Darmstadt,Schalke 04,0,2,0.0,1.0,A,1516
2016-01-30,Dortmund,Ingolstadt,2,0,0.0,0.0,H,1516
2016-01-30,Leverkusen,Hannover,3,0,1.0,0.0,H,1516
2016-01-30,Stuttgart,Hamburg,2,1,0.0,0.0,H,1516
2016-01-30,Werder Bremen,Hertha,3,3,0.0,2.0,D,1516
2016-01-31,Bayern Munich,Hoffenheim,2,0,1.0,0.0,H,1516
2016-01-31,Wolfsburg,FC Koln,1,1,0.0,0.0,D,1516
2016-02-05,M'gladbach,Werder Bremen,5,1,2.0,0.0,H,1516
2016-02-06,Ein Frankfurt,Stuttgart,2,4,0.0,2.0,A,1516
2016-02-06,Hannover,Mainz,0,1,0.0,1.0,A,1516
2016-02-06,Hertha,Dortmund,0,0,0.0,0.0,D,1516
2016-02-06,Ingolstadt,Augsburg,2,1,0.0,1.0,H,1516
2016-02-06,Leverkusen,Bayern Munich,0,0,0.0,0.0,D,1516
2016-02-06,Schalke 04,Wolfsburg,3,0,2.0,0.0,H,1516
2016-02-07,Hamburg,FC Koln,1,1,0.0,1.0,D,1516
2016-02-07,Hoffenheim,Darmstadt,0,2,0.0,1.0,A,1516
2016-02-12,Mainz,Schalke 04,2,1,1.0,0.0,H,1516
2016-02-13,Darmstadt,Leverkusen,1,2,1.0,0.0,A,1516
2016-02-13,Dortmund,Hannover,1,0,0.0,0.0,H,1516
2016-02-13,FC Koln,Ein Frankfurt,3,1,1.0,1.0,H,1516
2016-02-13,Stuttgart,Hertha,2,0,0.0,0.0,H,1516
2016-02-13,Werder Bremen,Hoffenheim,1,1,1.0,1.0,D,1516
2016-02-13,Wolfsburg,Ingolstadt,2,0,2.0,0.0,H,1516
2016-02-14,Augsburg,Bayern Munich,1,3,0.0,1.0,A,1516
2016-02-14,Hamburg,M'gladbach,3,2,2.0,1.0,H,1516
2016-02-19,Ein Frankfurt,Hamburg,0,0,0.0,0.0,D,1516
2016-02-20,Bayern Munich,Darmstadt,3,1,0.0,1.0,H,1516
2016-02-20,Hertha,Wolfsburg,1,1,0.0,0.0,D,1516
2016-02-20,Hoffenheim,Mainz,3,2,1.0,1.0,H,1516
2016-02-20,Ingolstadt,Werder Bremen,2,0,1.0,0.0,H,1516
2016-02-20,M'gladbach,FC Koln,1,0,1.0,0.0,H,1516
2016-02-21,Hannover,Augsburg,0,1,0.0,1.0,A,1516
2016-02-21,Leverkusen,Dortmund,0,1,0.0,0.0,A,1516
2016-02-21,Schalke 04,Stuttgart,1,1,1.0,0.0,D,1516
2016-02-26,FC Koln,Hertha,0,1,0.0,1.0,A,1516
2016-02-27,Hamburg,Ingolstadt,1,1,1.0,0.0,D,1516
2016-02-27,Stuttgart,Hannover,1,2,1.0,1.0,A,1516
2016-02-27,Werder Bremen,Darmstadt,2,2,1.0,1.0,D,1516
2016-02-27,Wolfsburg,Bayern Munich,0,2,0.0,0.0,A,1516
2016-02-28,Augsburg,M'gladbach,2,2,0.0,1.0,D,1516
2016-02-28,Dortmund,Hoffenheim,3,1,0.0,1.0,H,1516
2016-02-28,Ein Frankfurt,Schalke 04,0,0,0.0,0.0,D,1516
2016-02-28,Mainz,Leverkusen,3,1,2.0,0.0,H,1516
2016-03-01,Hannover,Wolfsburg,0,4,0.0,1.0,A,1516
2016-03-01,Ingolstadt,FC Koln,1,1,1.0,0.0,D,1516
2016-03-02,Bayern Munich,Mainz,1,2,0.0,1.0,A,1516
2016-03-02,Darmstadt,Dortmund,0,2,0.0,1.0,A,1516
2016-03-02,Hertha,Ein Frankfurt,2,0,0.0,0.0,H,1516
2016-03-02,Hoffenheim,Augsburg,2,1,1.0,1.0,H,1516
2016-03-02,Leverkusen,Werder Bremen,1,4,0.0,1.0,A,1516
2016-03-02,M'gladbach,Stuttgart,4,0,1.0,0.0,H,1516
2016-03-02,Schalke 04,Hamburg,3,2,1.0,1.0,H,1516
2016-03-05,Augsburg,Leverkusen,3,3,2.0,0.0,D,1516
2016-03-05,Dortmund,Bayern Munich,0,0,0.0,0.0,D,1516
2016-03-05,Ein Frankfurt,Ingolstadt,1,1,0.0,1.0,D,1516
2016-03-05,FC Koln,Schalke 04,1,3,1.0,2.0,A,1516
2016-03-05,Stuttgart,Hoffenheim,5,1,2.0,0.0,H,1516
2016-03-05,Werder Bremen,Hannover,4,1,2.0,1.0,H,1516
2016-03-05,Wolfsburg,M'gladbach,2,1,2.0,1.0,H,1516
2016-03-06,Hamburg,Hertha,2,0,0.0,0.0,H,1516
2016-03-06,Mainz,Darmstadt,0,0,0.0,0.0,D,1516
2016-03-11,Hertha,Schalke 04,2,0,1.0,0.0,H,1516
2016-03-12,Bayern Munich,Werder Bremen,5,0,2.0,0.0,H,1516
2016-03-12,Darmstadt,Augsburg,2,2,2.0,0.0,D,1516
2016-03-12,Hannover,FC Koln,0,2,0.0,1.0,A,1516
2016-03-12,Hoffenheim,Wolfsburg,1,0,1.0,0.0,H,1516
2016-03-12,Ingolstadt,Stuttgart,3,3,1.0,1.0,D,1516
2016-03-12,M'gladbach,Ein Frankfurt,3,0,1.0,0.0,H,1516
2016-03-13,Dortmund,Mainz,2,0,1.0,0.0,H,1516
2016-03-13,Leverkusen,Hamburg,1,0,1.0,0.0,H,1516
2016-03-18,Schalke 04,M'gladbach,2,1,0.0,0.0,H,1516
2016-03-19,Ein Frankfurt,Hannover,1,0,1.0,0.0,H,1516
2016-03-19,FC Koln,Bayern Munich,0,1,0.0,1.0,A,1516
2016-03-19,Hamburg,Hoffenheim,1,3,1.0,2.0,A,1516
2016-03-19,Hertha,Ingolstadt,2,1,0.0,0.0,H,1516
2016-03-19,Werder Bremen,Mainz,1,1,1.0,1.0,D,1516
2016-03-19,Wolfsburg,Darmstadt,1,1,0.0,0.0,D,1516
2016-03-20,Augsburg,Dortmund,1,3,1.0,1.0,A,1516
2016-03-20,Stuttgart,Leverkusen,0,2,0.0,1.0,A,1516
2016-04-01,Leverkusen,Wolfsburg,3,0,1.0,0.0,H,1516
2016-04-02,Bayern Munich,Ein Frankfurt,1,0,1.0,0.0,H,1516
2016-04-02,Darmstadt,Stuttgart,2,2,1.0,2.0,D,1516
2016-04-02,Dortmund,Werder Bremen,3,2,0.0,0.0,H,1516
2016-04-02,Hannover,Hamburg,0,3,0.0,0.0,A,1516
2016-04-02,Ingolstadt,Schalke 04,3,0,2.0,0.0,H,1516
2016-04-02,Mainz,Augsburg,4,2,2.0,2.0,H,1516
2016-04-03,Hoffenheim,FC Koln,1,1,0.0,0.0,D,1516
2016-04-03,M'gladbach,Hertha,5,0,1.0,0.0,H,1516
2016-04-08,Hertha,Hannover,2,2,1.0,1.0,D,1516
2016-04-09,Ein Frankfurt,Hoffenheim,0,2,0.0,0.0,A,1516
2016-04-09,Hamburg,Darmstadt,1,2,0.0,1.0,A,1516
2016-04-09,Ingolstadt,M'gladbach,1,0,0.0,0.0,H,1516
2016-04-09,Stuttgart,Bayern Munich,1,3,0.0,1.0,A,1516
2016-04-09,Werder Bremen,Augsburg,1,2,1.0,0.0,A,1516
2016-04-09,Wolfsburg,Mainz,1,1,0.0,0.0,D,1516
2016-04-10,FC Koln,Leverkusen,0,2,0.0,2.0,A,1516
2016-04-10,Schalke 04,Dortmund,2,2,0.0,0.0,D,1516
2016-04-15,Hannover,M'gladbach,2,0,0.0,0.0,H,1516
2016-04-16,Augsburg,Stuttgart,1,0,1.0,0.0,H,1516
2016-04-16,Bayern Munich,Schalke 04,3,0,0.0,0.0,H,1516
2016-04-16,Darmstadt,Ingolstadt,2,0,0.0,0.0,H,1516
2016-04-16,Hoffenheim,Hertha,2,1,1.0,1.0,H,1516
2016-04-16,Leverkusen,Ein Frankfurt,3,0,0.0,0.0,H,1516
2016-04-16,Werder Bremen,Wolfsburg,3,2,1.0,1.0,H,1516
2016-04-17,Dortmund,Hamburg,3,0,2.0,0.0,H,1516
2016-04-17,Mainz,FC Koln,2,3,1.0,0.0,A,1516
2016-04-22,Hamburg,Werder Bremen,2,1,2.0,0.0,H,1516
2016-04-23,FC Koln,Darmstadt,4,1,2.0,1.0,H,1516
2016-04-23,Hertha,Bayern Munich,0,2,0.0,0.0,A,1516
2016-04-23,Ingolstadt,Hannover,2,2,2.0,0.0,D,1516
2016-04-23,Schalke 04,Leverkusen,2,3,2.0,0.0,A,1516
2016-04-23,Stuttgart,Dortmund,0,3,0.0,2.0,A,1516
2016-04-23,Wolfsburg,Augsburg,0,2,0.0,1.0,A,1516
2016-04-24,Ein Frankfurt,Mainz,2,1,1.0,1.0,H,1516
2016-04-24,M'gladbach,Hoffenheim,3,1,2.0,0.0,H,1516
2016-04-29,Augsburg,FC Koln,0,0,0.0,0.0,D,1516
2016-04-30,Bayern Munich,M'gladbach,1,1,1.0,0.0,D,1516
2016-04-30,Darmstadt,Ein Frankfurt,1,2,1.0,0.0,A,1516
2016-04-30,Dortmund,Wolfsburg,5,1,2.0,0.0,H,1516
2016-04-30,Hannover,Schalke 04,1,3,1.0,2.0,A,1516
2016-04-30,Hoffenheim,Ingolstadt,2,1,1.0,1.0,H,1516
2016-04-30,Leverkusen,Hertha,2,1,2.0,1.0,H,1516
2016-04-30,Mainz,Hamburg,0,0,0.0,0.0,D,1516
2016-05-02,Werder Bremen,Stuttgart,6,2,3.0,1.0,H,1516
2016-05-07,Ein Frankfurt,Dortmund,1,0,1.0,0.0,H,1516
2016-05-07,FC Koln,Werder Bremen,0,0,0.0,0.0,D,1516
2016-05-07,Hamburg,Wolfsburg,0,1,0.0,0.0,A,1516
2016-05-07,Hannover,Hoffenheim,1,0,1.0,0.0,H,1516
2016-05-07,Hertha,Darmstadt,1,2,1.0,1.0,A,1516
2016-05-07,Ingolstadt,Bayern Munich,1,2,1.0,2.0,A,1516
2016-05-07,M'gladbach,Leverkusen,2,1,1.0,1.0,H,1516
2016-05-07,Schalke 04,Augsburg,1,1,0.0,0.0,D,1516
2016-05-07,Stuttgart,Mainz,1,3,1.0,1.0,A,1516
2016-05-14,Augsburg,Hamburg,1,3,1.0,1.0,A,1516
2016-05-14,Bayern Munich,Hannover,3,1,2.0,0.0,H,1516
2016-05-14,Darmstadt,M'gladbach,0,2,0.0,1.0,A,1516
2016-05-14,Dortmund,FC Koln,2,2,1.0,2.0,D,1516
2016-05-14,Hoffenheim,Schalke 04,1,4,1.0,2.0,A,1516
2016-05-14,Leverkusen,Ingolstadt,3,2,2.0,1.0,H,1516
2016-05-14,Mainz,Hertha,0,0,0.0,0.0,D,1516
2016-05-14,Werder Bremen,Ein Frankfurt,1,0,0.0,0.0,H,1516
2016-05-14,Wolfsburg,Stuttgart,3,1,2.0,0.0,H,1516
2016-08-26,Bayern Munich,Werder Bremen,6,0,2.0,0.0,H,1617
2016-08-27,Augsburg,Wolfsburg,0,2,0.0,1.0,A,1617
2016-08-27,Dortmund,Mainz,2,1,1.0,0.0,H,1617
2016-08-27,Ein Frankfurt,Schalke 04,1,0,1.0,0.0,H,1617
2016-08-27,FC Koln,Darmstadt,2,0,1.0,0.0,H,1617
2016-08-27,Hamburg,Ingolstadt,1,1,1.0,0.0,D,1617
2016-08-27,M'gladbach,Leverkusen,2,1,1.0,0.0,H,1617
2016-08-28,Hertha,Freiburg,2,1,0.0,0.0,H,1617
2016-08-28,Hoffenheim,RB Leipzig,2,2,0.0,0.0,D,1617
2016-09-09,Schalke 04,Bayern Munich,0,2,0.0,0.0,A,1617
2016-09-10,Darmstadt,Ein Frankfurt,1,0,0.0,0.0,H,1617
2016-09-10,Freiburg,M'gladbach,3,1,0.0,1.0,H,1617
2016-09-10,Ingolstadt,Hertha,0,2,0.0,1.0,A,1617
2016-09-10,Leverkusen,Hamburg,3,1,0.0,0.0,H,1617
2016-09-10,RB Leipzig,Dortmund,1,0,0.0,0.0,H,1617
2016-09-10,Wolfsburg,FC Koln,0,0,0.0,0.0,D,1617
2016-09-11,Mainz,Hoffenheim,4,4,4.0,1.0,D,1617
2016-09-11,Werder Bremen,Augsburg,1,2,1.0,0.0,A,1617
2016-09-16,FC Koln,Freiburg,3,0,3.0,0.0,H,1617
2016-09-17,Bayern Munich,Ingolstadt,3,1,1.0,1.0,H,1617
2016-09-17,Dortmund,Darmstadt,6,0,1.0,0.0,H,1617
2016-09-17,Ein Frankfurt,Leverkusen,2,1,0.0,0.0,H,1617
2016-09-17,Hamburg,RB Leipzig,0,4,0.0,0.0,A,1617
2016-09-17,Hoffenheim,Wolfsburg,0,0,0.0,0.0,D,1617
2016-09-17,M'gladbach,Werder Bremen,4,1,4.0,0.0,H,1617
2016-09-18,Augsburg,Mainz,1,3,0.0,1.0,A,1617
2016-09-18,Hertha,Schalke 04,2,0,0.0,0.0,H,1617
2016-09-20,Darmstadt,Hoffenheim,1,1,0.0,0.0,D,1617
2016-09-20,Freiburg,Hamburg,1,0,0.0,0.0,H,1617
2016-09-20,Ingolstadt,Ein Frankfurt,0,2,0.0,1.0,A,1617
2016-09-20,Wolfsburg,Dortmund,1,5,0.0,2.0,A,1617
2016-09-21,Bayern Munich,Hertha,3,0,1.0,0.0,H,1617
2016-09-21,Leverkusen,Augsburg,0,0,0.0,0.0,D,1617
2016-09-21,RB Leipzig,M'gladbach,1,1,1.0,0.0,D,1617
2016-09-21,Schalke 04,FC Koln,1,3,1.0,1.0,A,1617
2016-09-21,Werder Bremen,Mainz,1,2,1.0,0.0,A,1617
2016-09-23,Dortmund,Freiburg,3,1,1.0,0.0,H,1617
2016-09-24,Augsburg,Darmstadt,1,0,0.0,0.0,H,1617
2016-09-24,Ein Frankfurt,Hertha,3,3,2.0,1.0,D,1617
2016-09-24,Hamburg,Bayern Munich,0,1,0.0,0.0,A,1617
2016-09-24,Mainz,Leverkusen,2,3,2.0,1.0,A,1617
2016-09-24,M'gladbach,Ingolstadt,2,0,1.0,0.0,H,1617
2016-09-24,Werder Bremen,Wolfsburg,2,1,0.0,0.0,H,1617
2016-09-25,FC Koln,RB Leipzig,1,1,1.0,1.0,D,1617
2016-09-25,Hoffenheim,Schalke 04,2,1,2.0,1.0,H,1617
2016-09-30,RB Leipzig,Augsburg,2,1,1.0,1.0,H,1617
2016-10-01,Bayern Munich,FC Koln,1,1,1.0,0.0,D,1617
2016-10-01,Darmstadt,Werder Bremen,2,2,1.0,0.0,D,1617
2016-10-01,Freiburg,Ein Frankfurt,1,0,1.0,0.0,H,1617
2016-10-01,Hertha,Hamburg,2,0,1.0,0.0,H,1617
2016-10-01,Ingolstadt,Hoffenheim,1,2,0.0,2.0,A,1617
2016-10-01,Leverkusen,Dortmund,2,0,1.0,0.0,H,1617
2016-10-02,Schalke 04,M'gladbach,4,0,0.0,0.0,H,1617
2016-10-02,Wolfsburg,Mainz,0,0,0.0,0.0,D,1617
2016-10-14,Dortmund,Hertha,1,1,0.0,0.0,D,1617
2016-10-15,Augsburg,Schalke 04,1,1,0.0,0.0,D,1617
2016-10-15,Ein Frankfurt,Bayern Munich,2,2,1.0,1.0,D,1617
2016-10-15,FC Koln,Ingolstadt,2,1,2.0,0.0,H,1617
2016-10-15,Hoffenheim,Freiburg,2,1,1.0,0.0,H,1617
2016-10-15,M'gladbach,Hamburg,0,0,0.0,0.0,D,1617
2016-10-15,Werder Bremen,Leverkusen,2,1,1.0,1.0,H,1617
